time (ms),lon (deg),lat (deg),x (wgs84),y (wgs84),dist-hav (m),dist-cos (m)
0,52.27718801,9.37023378,0.912409054459,0.163541431143,0,0
1000,52.27717439,9.37022196,0.912408816745,0.163541224845,1.99004568936,1.98911539161
2000,52.27717197,9.37022331,0.912408774508,0.163541248407,0.304999753181,0.300211771919
4000,52.27715498,9.37022859,0.912408477976,0.16354134056,1.95426990256,1.95483743036
5000,52.27716749,9.37024589,0.912408696317,0.163541642502,2.36309903233,2.36196274
6000,52.27716177,9.37024458,0.912408596484,0.163541619638,0.644232274789,0.643882517852
7000,52.27715915,9.37024472,0.912408550757,0.163541622082,0.287864673682,0.284805893898
8000,52.27715868,9.37024396,0.912408542554,0.163541608817,0.0989974826041,0.0
9000,52.27716026,9.37024436,0.91240857013,0.163541615798,0.178959064202,0.164432759509
10000,52.27715953,9.37024421,0.912408557389,0.16354161318,0.0818075632074,0.094935297966
11000,52.27716017,9.3702444,0.912408568559,0.163541616497,0.0733247895446,0.0
12000,52.27715993,9.37024433,0.91240856437,0.163541615275,0.0274570702189,0.0
13000,52.27715992,9.37024426,0.912408564196,0.163541614053,0.00786058419692,0.094935297966
14000,52.27715978,9.37024419,0.912408561752,0.163541612831,0.0172192226113,0.094935297966
15000,52.27716046,9.37024383,0.91240857362,0.163541606548,0.0846647386252,0.094935297966
16000,52.27716059,9.37024317,0.912408575889,0.163541595029,0.0747617012316,0.094935297966
17000,52.27716074,9.37024239,0.912408578507,0.163541581415,0.088279497885,0.094935297966
18000,52.2771612,9.37024267,0.912408586536,0.163541586302,0.0592983743034,0.0
19000,52.27716285,9.37024187,0.912408615334,0.16354157234,0.201699483794,0.212281779716
20000,52.27716619,9.37024123,0.912408673628,0.16354156117,0.373281958425,0.379741191864
21000,52.27716334,9.37023979,0.912408623886,0.163541536037,0.351291274374,0.3552153589
22000,52.27716512,9.37023882,0.912408654953,0.163541519107,0.223092365834,0.212281779716
23000,52.27716798,9.37023659,0.912408704869,0.163541480186,0.39992586494,0.402776357794
24000,52.27718897,9.37021861,0.912409071214,0.163541166376,3.04962405599,3.0482953982
25000,52.27717316,9.37023664,0.912408795277,0.163541481059,2.65103985058,2.65139857885
26000,52.27717748,9.3702253,0.912408870675,0.163541283139,1.34708095911,1.34928409965
27000,52.27717586,9.37022245,0.912408842401,0.163541233397,0.363342622415,0.36768282799
28000,52.27717834,9.37022217,0.912408885685,0.16354122851,0.273859455023,0.284805893898
29000,52.27717801,9.3702205,0.912408879926,0.163541199363,0.189191992308,0.189870595932
30000,52.27718074,9.37021525,0.912408927573,0.163541107733,0.656123919891,0.650843612241
31000,52.27718101,9.37021559,0.912408932286,0.163541113667,0.0480289441964,0.0
32000,52.27717912,9.37021344,0.912408899299,0.163541076143,0.316464559596,0.328865519018
33000,52.27717916,9.37020318,0.912408899997,0.163540897072,1.14086838766,1.13922357559
34000,52.27718122,9.37020748,0.912408935951,0.163540972121,0.528861476154,0.537035143726
35000,52.27718315,9.37020451,0.912408969636,0.163540920285,0.392300053097,0.379741191864
36000,52.27718509,9.37020532,0.912409003495,0.163540934422,0.231112558982,0.212281779716
37000,52.27718438,9.3702069,0.912408991103,0.163540961998,0.192181936259,0.212281779716
38000,52.27718522,9.3702056,0.912409005764,0.163540939309,0.171431274916,0.164432759509
39000,52.27718535,9.37020581,0.912409008033,0.163540942974,0.0273620903029,0.0
40000,52.27718572,9.37020591,0.912409014491,0.163540944719,0.0420885715819,0.094935297966
41000,52.27718582,9.37020634,0.912409016236,0.163540952224,0.0490563636883,0.0
42000,52.27718614,9.3702067,0.912409021821,0.163540958507,0.0532443267055,0.0
43000,52.27718587,9.37020444,0.912409017109,0.163540919063,0.253040359643,0.25117518906
44000,52.27718589,9.37020446,0.912409017458,0.163540919412,0.0031241556696,0.0
50000,52.2771861,9.37020517,0.912409021123,0.163540931804,0.0822414844321,0.094935297966
51000,52.277186,9.37020455,0.912409019377,0.163540920983,0.0698083591112,0.0
52000,52.27718607,9.37020444,0.912409020599,0.163540919063,0.014442551873,0.0
53000,52.27718742,9.37020416,0.912409044161,0.163540914176,0.151347246654,0.164432759509
54000,52.27718588,9.37020243,0.912409017283,0.163540883982,0.2560293924,0.25117518906
55000,52.27718591,9.37020249,0.912409017807,0.163540885029,0.00743938342857,0.0
56000,52.27718593,9.37020277,0.912409018156,0.163540889916,0.0312118032605,0.094935297966
57000,52.27718599,9.37020293,0.912409019203,0.163540892709,0.0189699230972,0.0
58000,52.27718607,9.37020314,0.912409020599,0.163540896374,0.0249459438743,0.0
59000,52.27718612,9.37020335,0.912409021472,0.163540900039,0.023986611975,0.0
60000,52.27718626,9.37020349,0.912409023915,0.163540902482,0.0218690886242,0.0
61000,52.27718642,9.37020359,0.912409026708,0.163540904228,0.0207792925768,0.0
62000,52.27718645,9.37020359,0.912409027231,0.163540904228,0.00329133773812,0.0
63000,52.27718649,9.37020368,0.91240902793,0.163540905798,0.010927461506,0.0
64000,52.27718647,9.37020349,0.912409027581,0.163540902482,0.0212406750265,0.0
65000,52.27718633,9.37020338,0.912409025137,0.163540900563,0.0196347829868,0.094935297966
66000,52.27718613,9.37020322,0.912409021646,0.16354089777,0.0282486940066,0.0
67000,52.27718618,9.37020306,0.912409022519,0.163540894977,0.0186176739516,0.0
68000,52.27718619,9.37020305,0.912409022694,0.163540894803,0.0015620777676,0.094935297966
69000,52.2771852,9.37020249,0.912409005415,0.163540885029,0.125197759244,0.134258785931
70000,52.27718512,9.37020247,0.912409004019,0.16354088468,0.00905426397835,0.0
71000,52.27718581,9.37020282,0.912409016061,0.163540890789,0.085118937571,0.094935297966
72000,52.27718576,9.37020278,0.912409015189,0.163540890091,0.00706217320503,0.0
73000,52.2771856,9.37020269,0.912409012396,0.16354088852,0.0202061082703,0.0
74000,52.27718513,9.37020244,0.912409004193,0.163540884156,0.0585802460042,0.094935297966
75000,52.27718506,9.37020237,0.912409002971,0.163540882935,0.0109345443982,0.094935297966
76000,52.27718498,9.37020237,0.912409001575,0.163540882935,0.00877689988629,0.094935297966
77000,52.27718537,9.37020262,0.912409008382,0.163540887298,0.0510247975109,0.0
78000,52.27718526,9.37020256,0.912409006462,0.163540886251,0.0137896288889,0.0
79000,52.27718522,9.37020253,0.912409005764,0.163540885727,0.00551238388098,0.0
80000,52.27718533,9.37020261,0.912409007684,0.163540887123,0.014992463222,0.0
81000,52.27718537,9.37020262,0.912409008382,0.163540887298,0.00452713163395,0.0
82000,52.27718542,9.37020258,0.912409009255,0.1635408866,0.007062173813,0.094935297966
83000,52.27718511,9.37020232,0.912409003844,0.163540882062,0.0446378846815,0.094935297966
84000,52.277185,9.37020217,0.912409001924,0.163540879444,0.0205873590912,0.094935297966
85000,52.27718502,9.37020208,0.912409002273,0.163540877873,0.0102452694591,0.0
86000,52.27718538,9.37020224,0.912409008556,0.163540880666,0.0433181755597,0.0
87000,52.27718545,9.37020224,0.912409009778,0.163540880666,0.00767978730594,0.0
88000,52.27718553,9.37020226,0.912409011174,0.163540881015,0.00905426398398,0
89000,52.27718555,9.37020226,0.912409011524,0.163540881015,0.00219422516715,0.0
90000,52.27718568,9.37020224,0.912409013792,0.163540880666,0.0144348041191,0
91000,52.27718571,9.37020222,0.912409014316,0.163540880317,0.00397223157485,0.0
92000,52.27718574,9.37020222,0.91240901484,0.163540880317,0.00329133775111,0.0
93000,52.2771857,9.37020224,0.912409014141,0.163540880666,0.00491977854832,0.0
94000,52.2771857,9.3702022,0.912409014141,0.163540879968,0.00444779703875,0.0
95000,52.27718571,9.37020218,0.912409014316,0.163540879619,0.00247979447657,0.0
96000,52.27718521,9.37020189,0.912409005589,0.163540874557,0.0636315814044,0.0
97000,52.2771852,9.37020192,0.912409005415,0.163540875081,0.00351162864917,0.0
98000,52.27718522,9.37020188,0.912409005764,0.163540874383,0.00495958895394,0.0
99000,52.27718503,9.37020171,0.912409002448,0.163540871416,0.0281398004189,0.0
100000,52.27718506,9.37020172,0.912409002971,0.16354087159,0.00347409493237,0.0
101000,52.27718504,9.3702017,0.912409002622,0.163540871241,0.00312415568177,0.094935297966
102000,52.27718528,9.37020174,0.912409006811,0.163540871939,0.0267037196963,0.0
103000,52.27718527,9.37020174,0.912409006637,0.163540871939,0.00109711258522,0.0
104000,52.27718528,9.37020173,0.912409006811,0.163540871765,0.00156207791113,0.0
105000,52.2771854,9.37020175,0.912409008906,0.163540872114,0.0133518602317,0.0
106000,52.2771853,9.3702017,0.91240900716,0.163540871241,0.012299445645,0.094935297966
107000,52.27718532,9.37020177,0.912409007509,0.163540872463,0.00808701114202,0.0
108000,52.27718533,9.37020183,0.912409007684,0.16354087351,0.00676129999664,0.0
109000,52.27718538,9.37020184,0.912409008556,0.163540873684,0.00559712635403,0.0
110000,52.27718551,9.3702019,0.912409010825,0.163540874732,0.0157457730009,0.0
111000,52.27718562,9.37020201,0.912409012745,0.163540876651,0.017182855219,0.094935297966
112000,52.27718566,9.37020201,0.912409013443,0.163540876651,0.00438845033747,0.0
113000,52.27718568,9.37020205,0.912409013792,0.16354087735,0.00495958895358,0.0
114000,52.27718572,9.37020215,0.912409014491,0.163540879095,0.0119541461225,0.0
116000,52.27718562,9.37020205,0.912409012745,0.16354087735,0.0156207779933,0.0
117000,52.27718555,9.370202,0.912409011524,0.163540876477,0.00948102900229,0.0
118000,52.27718553,9.37020199,0.912409011174,0.163540876302,0.00245988932013,0.0
119000,52.27718554,9.37020206,0.912409011349,0.163540877524,0.00786058421557,0.0
120000,52.27718553,9.37020195,0.912409011174,0.163540875604,0.0122805467439,0.0
121000,52.2771855,9.37020197,0.912409010651,0.163540875953,0.00397223157697,0.0
122000,52.27718556,9.37020196,0.912409011698,0.163540875779,0.00667592974378,0.0
123000,52.27718558,9.37020202,0.912409012047,0.163540876826,0.00702325767344,0.0
124000,52.2771855,9.37020191,0.912409010651,0.163540874906,0.015054638624,0.0
125000,52.27718552,9.37020189,0.912409011,0.163540874557,0.00312415568092,0.0
126000,52.27718555,9.37020193,0.912409011524,0.163540875255,0.00553315439669,0.0
127000,52.27718556,9.37020192,0.912409011698,0.163540875081,0.00156207791071,0.0
128000,52.27718548,9.37020188,0.912409010302,0.163540874383,0.00983955640872,0.0
129000,52.27718549,9.37020185,0.912409010476,0.163540873859,0.00351162864921,0.0
130000,52.27718547,9.37020185,0.912409010127,0.163540873859,0.00219422516974,0.094935297966
131000,52.27718545,9.37020188,0.912409009778,0.163540874383,0.00399280651188,0.0
132000,52.27718541,9.37020184,0.91240900908,0.163540873684,0.00624831081469,0.0
133000,52.27718538,9.37020192,0.912409008556,0.163540875081,0.00948496168705,0.0
134000,52.27718533,9.37020182,0.912409007684,0.163540873335,0.0123989720402,0.0
135000,52.27718534,9.37020185,0.912409007858,0.163540873859,0.00351162883688,0.094935297966
136000,52.2771853,9.3702018,0.91240900716,0.163540872986,0.00708302734614,0.094935297966
137000,52.27718526,9.37020179,0.912409006462,0.163540872812,0.00452713164399,0.0
138000,52.27718522,9.37020179,0.912409005764,0.163540872812,0.00438845034025,0.0
139000,52.27718516,9.3702018,0.912409004717,0.163540872986,0.00667592974696,0.0
140000,52.27718508,9.37020176,0.91240900332,0.163540872288,0.00983955641143,0.0
141000,52.27718505,9.37020173,0.912409002797,0.163540871765,0.00468623359272,0.0
142000,52.2771851,9.37020172,0.91240900367,0.16354087159,0.0055971263165,0.094935297966
143000,52.27718512,9.37020169,0.912409004019,0.163540871066,0.00399280667746,0.0
144000,52.2771851,9.37020166,0.91240900367,0.163540870543,0.00399280667756,0.0
145000,52.27718511,9.37020166,0.912409003844,0.163540870543,0.00109711258547,0.0
146000,52.2771851,9.37020162,0.91240900367,0.163540869845,0.00458110843828,0.0
147000,52.27718514,9.3702017,0.912409004368,0.163540871241,0.00991917808637,0.094935297966
148000,52.27718513,9.37020176,0.912409004193,0.163540872288,0.00676129999668,0.0
149000,52.27718514,9.37020174,0.912409004368,0.163540871939,0.00247979447718,0.0
150000,52.27718516,9.37020173,0.912409004717,0.163540871765,0.00245988932159,0.0
151000,52.27718504,9.37020173,0.912409002622,0.163540871765,0.0131653502435,0.0
152000,52.27718508,9.37020169,0.91240900332,0.163540871066,0.00624831136353,0.0
153000,52.27718504,9.37020166,0.912409002622,0.163540870543,0.00551238400926,0.0
154000,52.27718503,9.37020171,0.912409002448,0.163540871416,0.00566696003393,0.0
155000,52.27718499,9.37020168,0.91240900175,0.163540870892,0.00551238338846,0.0
156000,52.27718498,9.3702017,0.912409001575,0.163540871241,0.0024797946544,0.094935297966
157000,52.277185,9.37020166,0.912409001924,0.163540870543,0.0049595891317,0.0
158000,52.27718504,9.37020162,0.912409002622,0.163540869845,0.00624831081664,0.0
159000,52.27718493,9.37020144,0.912409000702,0.163540866703,0.0233719073874,0.094935297966
160000,52.27718474,9.37020048,0.912408997386,0.163540849948,0.108763364387,0.134258785931
161000,52.27718465,9.37020005,0.912408995816,0.163540842443,0.0488227135607,0.0
162000,52.2771845,9.37019975,0.912408993198,0.163540837207,0.0371969170288,0.0
163000,52.27718425,9.37019857,0.912408988834,0.163540816612,0.134046083581,0.134258785931
164000,52.27718424,9.37019842,0.91240898866,0.163540813994,0.0167152825124,0.0
165000,52.27718418,9.37019822,0.912408987612,0.163540810504,0.0231927589977,0.0
166000,52.27718413,9.37019794,0.91240898674,0.163540805617,0.0316141334121,0.094935297966
167000,52.277184,9.37019752,0.912408984471,0.163540798286,0.048831162662,0.094935297966
168000,52.27718394,9.37019723,0.912408983424,0.163540793225,0.0329115514125,0.0
169000,52.27718391,9.37019702,0.9124089829,0.16354078956,0.0235817524576,0.0
170000,52.2771839,9.37019697,0.912408982726,0.163540788687,0.0056669600368,0.0
171000,52.27718391,9.37019672,0.9124089829,0.163540784324,0.0278203728427,0.0
172000,52.27718394,9.37019643,0.912408983424,0.163540779262,0.0324140635097,0.0
173000,52.27718392,9.3701964,0.912408983075,0.163540778739,0.00399280669583,0.0
174000,52.27718389,9.37019633,0.912408982551,0.163540777517,0.0084509185618,0.0
176000,52.27718384,9.37019631,0.912408981678,0.163540777168,0.00591921668636,0.0
177000,52.27718383,9.37019633,0.912408981504,0.163540777517,0.00247979448477,0.0
178000,52.27718388,9.37019631,0.912408982377,0.163540777168,0.00591921668636,0.0
179000,52.27718393,9.37019632,0.912408983249,0.163540777342,0.00559712640026,0.0
180000,52.27718392,9.37019626,0.912408983075,0.163540776295,0.00676129999946,0.0
181000,52.27718391,9.37019625,0.9124089829,0.163540776121,0.00156207792329,0.0
182000,52.27718392,9.37019621,0.912408983075,0.163540775422,0.00458110844237,0.0
183000,52.2771839,9.37019613,0.912408982726,0.163540774026,0.00916221688483,0.0
184000,52.27718388,9.37019606,0.912408982377,0.163540772804,0.00808701113029,0.0
185000,52.27718397,9.37019601,0.912408983947,0.163540771932,0.011331676999,0.0
186000,52.27718396,9.37019611,0.912408983773,0.163540773677,0.0111734852072,0.0
187000,52.27718405,9.37019623,0.912408985344,0.163540775771,0.0165994642146,0.0
188000,52.27718409,9.37019619,0.912408986042,0.163540775073,0.00624831086485,0.0
189000,52.27718407,9.37019605,0.912408985693,0.16354077263,0.0157211682408,0.0
190000,52.27718414,9.37019596,0.912408986914,0.163540771059,0.0126146768797,0.0
191000,52.27718414,9.37019592,0.912408986914,0.163540770361,0.00444779703875,0.094935297966
192000,52.27718423,9.37019596,0.912408988485,0.163540771059,0.0108295440512,0.094935297966
193000,52.27718426,9.370196,0.912408989009,0.163540771757,0.00553315443013,0.094935297966
194000,52.27718429,9.37019601,0.912408989532,0.163540771932,0.00347409498365,0.0
195000,52.27718427,9.370196,0.912408989183,0.163540771757,0.00245988935389,0.0
196000,52.27718429,9.37019601,0.912408989532,0.163540771932,0.00245988935389,0.0
197000,52.27718434,9.37019607,0.912408990405,0.163540772979,0.00863729788024,0.0
198000,52.27718437,9.37019609,0.912408990929,0.163540773328,0.00397223226908,0.0
199000,52.27718448,9.37019617,0.912408992848,0.163540774724,0.0149924634022,0.0
200000,52.27718456,9.37019634,0.912408994245,0.163540777691,0.02084136709,0.0
201000,52.27718455,9.37019635,0.91240899407,0.163540777866,0.00156207792309,0.0
202000,52.27718459,9.37019631,0.912408994768,0.163540777168,0.00624831086378,0.0
203000,52.27718463,9.37019638,0.912408995466,0.163540778389,0.0089355258438,0.0
204000,52.27718465,9.37019641,0.912408995816,0.163540778913,0.0039928066959,0.0
205000,52.27718467,9.37019643,0.912408996165,0.163540779262,0.00312415515774,0.0
206000,52.27718472,9.37019647,0.912408997037,0.16354077996,0.00706217388847,0.0
207000,52.27718477,9.37019643,0.91240899791,0.163540779262,0.00706217328296,0.0
208000,52.27718475,9.37019647,0.912408997561,0.16354077996,0.00495958862429,0.0
209000,52.27718483,9.37019652,0.912408998957,0.163540780833,0.0103896464917,0.0
210000,52.27718485,9.37019655,0.912408999306,0.163540781357,0.00399280610199,0.0
211000,52.27718484,9.37019655,0.912408999132,0.163540781357,0.00109711260162,0.0
212000,52.27718479,9.37019656,0.912408998259,0.163540781531,0.00559712643579,0.0
213000,52.27718485,9.37019655,0.912408999306,0.163540781357,0.00667592984492,0.0
214000,52.27718479,9.3701964,0.912408998259,0.163540778739,0.0179312191822,0.0
215000,52.27718489,9.37019651,0.912409000004,0.163540780658,0.0164308782885,0.094935297966
216000,52.27718489,9.37019645,0.912409000004,0.163540779611,0.00667169555813,0.0
217000,52.27718487,9.37019635,0.912408999655,0.163540777866,0.0113339198805,0.0
218000,52.2771848,9.37019625,0.912408998434,0.163540776121,0.0135137801923,0.0
219000,52.27718495,9.37019634,0.912409001052,0.163540777691,0.0192606720638,0.0
220000,52.27718498,9.37019628,0.912409001575,0.163540776644,0.00743938345436,0.094935297966
221000,52.27718497,9.37019627,0.912409001401,0.16354077647,0.00156207792325,0.0
302000,52.27718431,9.37030813,0.912408989881,0.163542728795,12.4384752586,12.4386979343
303000,52.2771843,9.37030814,0.912408989707,0.163542728969,0.001562077675,0.0
304000,52.27718431,9.37030818,0.912408989881,0.163542729668,0.00458110835767,0.0
305000,52.2771843,9.37030828,0.912408989707,0.163542731413,0.0111734851724,0.0
306000,52.27718427,9.37030848,0.912408989183,0.163542734904,0.0224812225824,0.0
307000,52.27718425,9.37030859,0.912408988834,0.163542736823,0.0124266968034,0.0
308000,52.27718425,9.37030872,0.912408988834,0.163542739092,0.0144553404747,0.0
309000,52.27718425,9.37030877,0.912408988834,0.163542739965,0.00555974619968,0.0
310000,52.27718426,9.37030873,0.912408989009,0.163542739267,0.00458110835723,0.094935297966
311000,52.27718424,9.37030883,0.91240898866,0.163542741012,0.0113339199368,0.0
312000,52.27718426,9.37030889,0.912408989009,0.163542742059,0.00702325727481,0.0
313000,52.27718424,9.370309,0.91240898866,0.163542743979,0.0124266968029,0.0
314000,52.27718419,9.37030913,0.912408987787,0.163542746248,0.0154611850031,0.094935297966
315000,52.27718421,9.3703091,0.912408988136,0.163542745725,0.00399280630444,0.094935297966
316000,52.27718417,9.3703092,0.912408987438,0.16354274747,0.0119541457282,0.0
317000,52.27718416,9.37030925,0.912408987263,0.163542748343,0.00566695996815,0.0
318000,52.27718416,9.37030927,0.912408987263,0.163542748692,0.00222389851938,0.0
319000,52.27718415,9.37030929,0.912408987089,0.163542749041,0.00247979432686,0.0
320000,52.27718415,9.37030928,0.912408987089,0.163542748866,0.00111194916093,0.0
321000,52.27718415,9.37030935,0.912408987089,0.163542750088,0.00778364471905,0.0
323000,52.27718415,9.37030936,0.912408987089,0.163542750262,0.00111194935845,0.0
