time (ms),sentence id,time (hhmmss),lat (deg),lat type,long (deg),long type,fix quality,satelites,HDOP,alt,alt unit,h above WGS84,h unit,,checksum
21834000,$GPGGA,060354,5220.010986,N,00924.813320,E,1,03,0.9,94.0,M,46.0,M,,*74
21834000,$GPGGA,060354,5220.010986,N,00924.813320,E,1,03,0.9,94.0,M,46.0,M,,*74
21835000,$GPGGA,060355,5220.010597,N,00924.817028,E,1,08,0.8,102.0,M,46.0,M,,*42
21835000,$GPGGA,060355,5220.010597,N,00924.817028,E,1,08,0.8,102.0,M,46.0,M,,*42
21836000,$GPGGA,060356,5220.011085,N,00924.817465,E,1,08,0.8,93.0,M,46.0,M,,*72
21836000,$GPGGA,060356,5220.011085,N,00924.817465,E,1,08,0.8,93.0,M,46.0,M,,*72
21837000,$GPGGA,060357,5220.012634,N,00924.816687,E,1,08,0.7,84.0,M,46.0,M,,*7A
21837000,$GPGGA,060357,5220.012634,N,00924.816687,E,1,08,0.7,84.0,M,46.0,M,,*7A
21838000,$GPGGA,060358,5220.011005,N,00924.817056,E,1,08,0.7,80.0,M,46.0,M,,*7D
21838000,$GPGGA,060358,5220.011005,N,00924.817056,E,1,08,0.7,80.0,M,46.0,M,,*7D
21839000,$GPGGA,060359,5220.010829,N,00924.818261,E,1,08,0.7,79.0,M,46.0,M,,*74
21839000,$GPGGA,060359,5220.010829,N,00924.818261,E,1,08,0.7,79.0,M,46.0,M,,*74
21840000,$GPGGA,060400,5220.011320,N,00924.819097,E,1,08,0.7,80.0,M,46.0,M,,*70
21840000,$GPGGA,060400,5220.011320,N,00924.819097,E,1,08,0.7,80.0,M,46.0,M,,*70
21841000,$GPGGA,060401,5220.011142,N,00924.818685,E,1,07,0.8,80.0,M,46.0,M,,*73
21841000,$GPGGA,060401,5220.011142,N,00924.818685,E,1,07,0.8,80.0,M,46.0,M,,*73
21842000,$GPGGA,060402,5220.011213,N,00924.817809,E,1,07,0.8,80.0,M,46.0,M,,*72
21842000,$GPGGA,060402,5220.011213,N,00924.817809,E,1,07,0.8,80.0,M,46.0,M,,*72
21843000,$GPGGA,060403,5220.011361,N,00924.817730,E,1,07,0.8,80.0,M,46.0,M,,*72
21843000,$GPGGA,060403,5220.011361,N,00924.817730,E,1,07,0.8,80.0,M,46.0,M,,*72
21844000,$GPGGA,060404,5220.011385,N,00924.817363,E,1,07,0.8,79.0,M,46.0,M,,*7B
21844000,$GPGGA,060404,5220.011385,N,00924.817363,E,1,07,0.8,79.0,M,46.0,M,,*7B
21845000,$GPGGA,060405,5220.011370,N,00924.817372,E,1,07,0.8,78.0,M,46.0,M,,*71
21845000,$GPGGA,060405,5220.011370,N,00924.817372,E,1,07,0.8,78.0,M,46.0,M,,*71
21846000,$GPGGA,060406,5220.011491,N,00924.817504,E,1,07,0.8,78.0,M,46.0,M,,*7D
21846000,$GPGGA,060406,5220.011491,N,00924.817504,E,1,07,0.8,78.0,M,46.0,M,,*7D
21847000,$GPGGA,060407,5220.011392,N,00924.817534,E,1,07,0.8,78.0,M,46.0,M,,*7B
21847000,$GPGGA,060407,5220.011392,N,00924.817534,E,1,07,0.8,78.0,M,46.0,M,,*7B
21848000,$GPGGA,060408,5220.011490,N,00924.817760,E,1,07,0.8,78.0,M,46.0,M,,*72
21848000,$GPGGA,060408,5220.011490,N,00924.817760,E,1,07,0.8,78.0,M,46.0,M,,*72
21849000,$GPGGA,060409,5220.011510,N,00924.817873,E,1,07,0.8,78.0,M,46.0,M,,*77
21849000,$GPGGA,060409,5220.011510,N,00924.817873,E,1,07,0.8,78.0,M,46.0,M,,*77
21850000,$GPGGA,060410,5220.011542,N,00924.817902,E,1,07,0.8,78.0,M,46.0,M,,*7F
21850000,$GPGGA,060410,5220.011542,N,00924.817902,E,1,07,0.8,78.0,M,46.0,M,,*7F
21851000,$GPGGA,060411,5220.011550,N,00924.817880,E,1,07,0.8,78.0,M,46.0,M,,*76
21851000,$GPGGA,060411,5220.011550,N,00924.817880,E,1,07,0.8,78.0,M,46.0,M,,*76
21852000,$GPGGA,060412,5220.011550,N,00924.817885,E,1,08,0.8,78.0,M,46.0,M,,*7F
21852000,$GPGGA,060412,5220.011550,N,00924.817885,E,1,08,0.8,78.0,M,46.0,M,,*7F
21853000,$GPGGA,060413,5220.011550,N,00924.817892,E,1,07,0.8,78.0,M,46.0,M,,*77
21853000,$GPGGA,060413,5220.011550,N,00924.817892,E,1,07,0.8,78.0,M,46.0,M,,*77
21854000,$GPGGA,060414,5220.011553,N,00924.817900,E,1,06,0.8,78.0,M,46.0,M,,*78
21854000,$GPGGA,060414,5220.011553,N,00924.817900,E,1,06,0.8,78.0,M,46.0,M,,*78
21855000,$GPGGA,060415,5220.011555,N,00924.817918,E,1,07,0.8,78.0,M,46.0,M,,*77
